LECROYHDO6034,16324,Waveform
Segments,1,SegmentSize,1252
Segment,TrigTime,TimeSinceSegment1
#1,10-Jul-2024 13:26:50,0                 
Time,Ampl
-4.01238e-08,-0.021
-3.97238e-08,-0.021
-3.93238e-08,-0.021
-3.89238e-08,-0.0206
-3.85238e-08,-0.0204
-3.81238e-08,-0.0198
-3.77238e-08,-0.0194
-3.73238e-08,-0.0196
-3.69238e-08,-0.0197
-3.65238e-08,-0.0191
-3.61238e-08,-0.0188
-3.57238e-08,-0.0187
-3.53238e-08,-0.0187
-3.49238e-08,-0.0183
-3.45238e-08,-0.0179
-3.41238e-08,-0.0173
-3.37238e-08,-0.0175
-3.33238e-08,-0.017
-3.29238e-08,-0.0168
-3.25238e-08,-0.0165
-3.21238e-08,-0.0164
-3.17238e-08,-0.0161
-3.13238e-08,-0.016
-3.09238e-08,-0.0156
-3.05238e-08,-0.0156
-3.01238e-08,-0.0149
-2.97238e-08,-0.0149
-2.93238e-08,-0.015
-2.89238e-08,-0.0152
-2.85238e-08,-0.0145
-2.81238e-08,-0.0143
-2.77238e-08,-0.0139
-2.73238e-08,-0.0138
-2.69238e-08,-0.0133
-2.65238e-08,-0.0132
-2.61238e-08,-0.0127
-2.57238e-08,-0.013
-2.53238e-08,-0.0122
-2.49238e-08,-0.0117
-2.45238e-08,-0.0117
-2.41238e-08,-0.0118
-2.37238e-08,-0.011
-2.33238e-08,-0.0108
-2.29238e-08,-0.0102
-2.25238e-08,-0.0107
-2.21238e-08,-0.0103
-2.17238e-08,-0.0102
-2.13238e-08,-0.0098
-2.09238e-08,-0.0099
-2.05238e-08,-0.0096
-2.01238e-08,-0.0093
-1.97238e-08,-0.0092
-1.93238e-08,-0.0089
-1.89238e-08,-0.0083
-1.85238e-08,-0.0081
-1.81238e-08,-0.0079
-1.77238e-08,-0.0078
-1.73238e-08,-0.0072
-1.69238e-08,-0.0072
-1.65238e-08,-0.0069
-1.61238e-08,-0.0071
-1.57238e-08,-0.0066
-1.53238e-08,-0.0066
-1.49238e-08,-0.0062
-1.45238e-08,-0.006
-1.41238e-08,-0.0056
-1.37238e-08,-0.0055
-1.33238e-08,-0.0051
-1.29238e-08,-0.0048
-1.25238e-08,-0.0045
-1.21238e-08,-0.0044
-1.17238e-08,-0.004
-1.13238e-08,-0.0038
-1.09238e-08,-0.0035
-1.05238e-08,-0.0034
-1.01238e-08,-0.0031
-9.72381e-09,-0.0031
-9.32381e-09,-0.0026
-8.92381e-09,-0.0025
-8.52381e-09,-0.0023
-8.12381e-09,-0.0021
-7.72381e-09,-0.0015
-7.32381e-09,-0.0018
-6.92381e-09,-0.0017
-6.52381e-09,-0.0014
-6.12381e-09,-0.0009
-5.72381e-09,-0.001
-5.32381e-09,-0.0006
-4.92381e-09,-0.0003
-4.52381e-09,0
-4.12381e-09,0.0004
-3.72381e-09,0.0007
-3.32381e-09,0.0006
-2.92381e-09,0.0013
-2.52381e-09,0.0014
-2.12381e-09,0.0015
-1.72381e-09,0.0014
-1.32381e-09,0.002
-9.23809e-10,0.0023
-5.23809e-10,0.0026
-1.23809e-10,0.0028
2.76191e-10,0.0034
6.76191e-10,0.0034
1.07619e-09,0.0039
1.47619e-09,0.0036
1.87619e-09,0.0042
2.27619e-09,0.0043
2.67619e-09,0.0046
3.07619e-09,0.0049
3.47619e-09,0.0054
3.87619e-09,0.0054
4.27619e-09,0.0055
4.67619e-09,0.0054
5.07619e-09,0.0059
5.47619e-09,0.006
5.87619e-09,0.0062
6.27619e-09,0.0064
6.67619e-09,0.007
7.07619e-09,0.0071
7.47619e-09,0.0075
7.87619e-09,0.0073
8.27619e-09,0.0077
8.67619e-09,0.0079
9.07619e-09,0.0084
9.47619e-09,0.0084
9.87619e-09,0.0087
1.02762e-08,0.0089
1.06762e-08,0.0095
1.10762e-08,0.0094
1.14762e-08,0.0102
1.18762e-08,0.0104
1.22762e-08,0.0107
1.26762e-08,0.0103
1.30762e-08,0.0109
1.34762e-08,0.0111
1.38762e-08,0.0113
1.42762e-08,0.0115
1.46762e-08,0.0121
1.50762e-08,0.0122
1.54762e-08,0.0126
1.58762e-08,0.0124
1.62762e-08,0.0127
1.66762e-08,0.0128
1.70762e-08,0.0133
1.74762e-08,0.0134
1.78762e-08,0.0136
1.82762e-08,0.0136
1.86762e-08,0.0141
1.90762e-08,0.0144
1.94762e-08,0.0146
1.98762e-08,0.0147
2.02762e-08,0.015
2.06762e-08,0.0151
2.10762e-08,0.0155
2.14762e-08,0.0157
2.18762e-08,0.0159
2.22762e-08,0.0162
2.26762e-08,0.0169
2.30762e-08,0.0171
2.34762e-08,0.0176
2.38762e-08,0.0173
2.42762e-08,0.0178
2.46762e-08,0.0179
2.50762e-08,0.018
2.54762e-08,0.0178
2.58762e-08,0.0188
2.62762e-08,0.0187
2.66762e-08,0.019
2.70762e-08,0.0192
2.74762e-08,0.0193
2.78762e-08,0.0198
2.82762e-08,0.02
2.86762e-08,0.0198
2.90762e-08,0.0202
2.94762e-08,0.0209
2.98762e-08,0.0211
3.02762e-08,0.021
3.06762e-08,0.0215
3.10762e-08,0.0216
3.14762e-08,0.0216
3.18762e-08,0.0222
3.22762e-08,0.0228
3.26762e-08,0.023
3.30762e-08,0.0233
3.34762e-08,0.0231
3.38762e-08,0.0233
3.42762e-08,0.0237
3.46762e-08,0.0236
3.50762e-08,0.024
3.54762e-08,0.0246
3.58762e-08,0.0248
3.62762e-08,0.025
3.66762e-08,0.0247
3.70762e-08,0.0254
3.74762e-08,0.0256
3.78762e-08,0.0259
3.82762e-08,0.0258
3.86762e-08,0.0259
3.90762e-08,0.0262
3.94762e-08,0.0264
3.98762e-08,0.0263
4.02762e-08,0.0269
4.06762e-08,0.0274
4.10762e-08,0.0273
4.14762e-08,0.0274
4.18762e-08,0.0277
4.22762e-08,0.0283
4.26762e-08,0.0286
4.30762e-08,0.0284
4.34762e-08,0.0289
4.38762e-08,0.0293
4.42762e-08,0.0299
4.46762e-08,0.0298
4.50762e-08,0.0303
4.54762e-08,0.0303
4.58762e-08,0.0306
4.62762e-08,0.0307
4.66762e-08,0.031
4.70762e-08,0.0312
4.74762e-08,0.0314
4.78762e-08,0.0319
4.82762e-08,0.0322
4.86762e-08,0.0326
4.90762e-08,0.0326
4.94762e-08,0.0323
4.98762e-08,0.0326
5.02762e-08,0.033
5.06762e-08,0.0334
5.10762e-08,0.0334
5.14762e-08,0.0339
5.18762e-08,0.0338
5.22762e-08,0.0337
5.26762e-08,0.0339
5.30762e-08,0.0343
5.34762e-08,0.035
5.38762e-08,0.0349
5.42762e-08,0.0351
5.46762e-08,0.0355
5.50762e-08,0.0354
5.54762e-08,0.0359
5.58762e-08,0.036
5.62762e-08,0.0366
5.66762e-08,0.0372
5.70762e-08,0.0373
5.74762e-08,0.0372
5.78762e-08,0.0377
5.82762e-08,0.0381
5.86762e-08,0.0388
5.90762e-08,0.0388
5.94762e-08,0.0388
5.98762e-08,0.0388
6.02762e-08,0.0391
6.06762e-08,0.039
6.10762e-08,0.0395
6.14762e-08,0.0396
6.18762e-08,0.0398
6.22762e-08,0.0397
6.26762e-08,0.04
6.30762e-08,0.0403
6.34762e-08,0.0409
6.38762e-08,0.0409
6.42762e-08,0.0411
6.46762e-08,0.0412
6.50762e-08,0.0416
6.54762e-08,0.042
6.58762e-08,0.0424
6.62762e-08,0.0428
6.66762e-08,0.0429
6.70762e-08,0.0429
6.74762e-08,0.0434
6.78762e-08,0.0438
6.82762e-08,0.0439
6.86762e-08,0.044
6.90762e-08,0.0444
6.94762e-08,0.0446
6.98762e-08,0.0446
7.02762e-08,0.0448
7.06762e-08,0.0451
7.10762e-08,0.045
7.14762e-08,0.0451
7.18762e-08,0.0453
7.22762e-08,0.0457
7.26762e-08,0.0458
7.30762e-08,0.0462
7.34762e-08,0.0459
7.38762e-08,0.0466
7.42762e-08,0.0465
7.46762e-08,0.047
7.50762e-08,0.047
7.54762e-08,0.0473
7.58762e-08,0.0477
7.62762e-08,0.0479
7.66762e-08,0.0478
7.70762e-08,0.0486
7.74762e-08,0.0487
7.78762e-08,0.0489
7.82762e-08,0.049
7.86762e-08,0.0494
7.90762e-08,0.0494
7.94762e-08,0.0499
7.98762e-08,0.0503
8.02762e-08,0.0503
8.06762e-08,0.0502
8.10762e-08,0.0505
8.14762e-08,0.0505
8.18762e-08,0.0513
8.22762e-08,0.0517
8.26762e-08,0.0516
8.30762e-08,0.0515
8.34762e-08,0.0515
8.38762e-08,0.0517
8.42762e-08,0.052
8.46762e-08,0.0522
8.50762e-08,0.0525
8.54762e-08,0.0529
8.58762e-08,0.0532
8.62762e-08,0.053
8.66762e-08,0.0532
8.70762e-08,0.0538
8.74762e-08,0.0544
8.78762e-08,0.0543
8.82762e-08,0.0545
8.86762e-08,0.055
8.90762e-08,0.0556
8.94762e-08,0.0554
8.98762e-08,0.0555
9.02762e-08,0.056
9.06762e-08,0.0565
9.10762e-08,0.0565
9.14762e-08,0.0568
9.18762e-08,0.0568
9.22762e-08,0.0568
9.26762e-08,0.0567
9.30762e-08,0.057
9.34762e-08,0.0573
9.38762e-08,0.0575
9.42762e-08,0.0575
9.46762e-08,0.058
9.50762e-08,0.0581
9.54762e-08,0.0585
9.58762e-08,0.0585
9.62762e-08,0.0587
9.66762e-08,0.0593
